_input_address,_input_zpid,_input_url,_which,_fetched_at,message,source,GraphType,RecentFirst,DataPoints_city,DataPoints_state,DataPoints_streetAddress,DataPoints_zipcode,DataPoints_Current_Rent_Zestimate,_error
"970 Sidney Marcus Blvd NE # 2319, Atlanta, GA, 30324",2086976750,https://www.zillow.com/homedetails/2086976750_zpid/,zestimate_history,2026-04-12T16:13:44.402465+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=zestimate_history&byzpid=2086976750&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F2086976750_zpid%2F&byaddress=970+Sidney+Marcus+Blvd+NE+%23+2319%2C+Atlanta%2C+GA%2C+30324
"115 W West Peachtree Pl NW # 709, Atlanta, GA, 30313",65463076,https://www.zillow.com/homedetails/65463076_zpid/,rent_zestimate_history,2026-04-12T16:13:44.681811+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=rent_zestimate_history&byzpid=65463076&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F65463076_zpid%2F&byaddress=115+W+West+Peachtree+Pl+NW+%23+709%2C+Atlanta%2C+GA%2C+30313
"115 W West Peachtree Pl NW # 709, Atlanta, GA, 30313",65463076,https://www.zillow.com/homedetails/65463076_zpid/,zestimate_history,2026-04-12T16:13:44.940528+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=zestimate_history&byzpid=65463076&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F65463076_zpid%2F&byaddress=115+W+West+Peachtree+Pl+NW+%23+709%2C+Atlanta%2C+GA%2C+30313
"1445 Monroe Dr NE Apt F15 # F15, Atlanta, GA, 30324",69378658,https://www.zillow.com/homedetails/69378658_zpid/,rent_zestimate_history,2026-04-12T16:13:45.214479+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=rent_zestimate_history&byzpid=69378658&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F69378658_zpid%2F&byaddress=1445+Monroe+Dr+NE+Apt+F15+%23+F15%2C+Atlanta%2C+GA%2C+30324
"1445 Monroe Dr NE Apt F15 # F15, Atlanta, GA, 30324",69378658,https://www.zillow.com/homedetails/69378658_zpid/,zestimate_history,2026-04-12T16:13:45.523415+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=zestimate_history&byzpid=69378658&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F69378658_zpid%2F&byaddress=1445+Monroe+Dr+NE+Apt+F15+%23+F15%2C+Atlanta%2C+GA%2C+30324
"1428 Liberty Pkwy NW, Atlanta, GA, 30318",88817721,https://www.zillow.com/homedetails/88817721_zpid/,rent_zestimate_history,2026-04-12T16:13:45.797657+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=rent_zestimate_history&byzpid=88817721&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F88817721_zpid%2F&byaddress=1428+Liberty+Pkwy+NW%2C+Atlanta%2C+GA%2C+30318
"1428 Liberty Pkwy NW, Atlanta, GA, 30318",88817721,https://www.zillow.com/homedetails/88817721_zpid/,zestimate_history,2026-04-12T16:13:46.064638+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=zestimate_history&byzpid=88817721&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F88817721_zpid%2F&byaddress=1428+Liberty+Pkwy+NW%2C+Atlanta%2C+GA%2C+30318
"2230 Cheshire Bridge Rd NE # 403, Atlanta, GA, 30324",2067110853,https://www.zillow.com/homedetails/2067110853_zpid/,rent_zestimate_history,2026-04-12T16:13:46.332422+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=rent_zestimate_history&byzpid=2067110853&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F2067110853_zpid%2F&byaddress=2230+Cheshire+Bridge+Rd+NE+%23+403%2C+Atlanta%2C+GA%2C+30324
"2230 Cheshire Bridge Rd NE # 403, Atlanta, GA, 30324",2067110853,https://www.zillow.com/homedetails/2067110853_zpid/,zestimate_history,2026-04-12T16:13:46.600976+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=zestimate_history&byzpid=2067110853&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F2067110853_zpid%2F&byaddress=2230+Cheshire+Bridge+Rd+NE+%23+403%2C+Atlanta%2C+GA%2C+30324
"3685 Peachtree Rd NE # 1, Atlanta, GA, 30319",35895427,https://www.zillow.com/homedetails/35895427_zpid/,rent_zestimate_history,2026-04-12T16:13:46.865354+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=rent_zestimate_history&byzpid=35895427&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F35895427_zpid%2F&byaddress=3685+Peachtree+Rd+NE+%23+1%2C+Atlanta%2C+GA%2C+30319
"3685 Peachtree Rd NE # 1, Atlanta, GA, 30319",35895427,https://www.zillow.com/homedetails/35895427_zpid/,zestimate_history,2026-04-12T16:13:47.123410+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=zestimate_history&byzpid=35895427&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F35895427_zpid%2F&byaddress=3685+Peachtree+Rd+NE+%23+1%2C+Atlanta%2C+GA%2C+30319
"7500 Roswell Rd # 78, Atlanta, GA, 30350",2069626572,https://www.zillow.com/homedetails/2069626572_zpid/,rent_zestimate_history,2026-04-12T16:13:47.567509+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=rent_zestimate_history&byzpid=2069626572&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F2069626572_zpid%2F&byaddress=7500+Roswell+Rd+%23+78%2C+Atlanta%2C+GA%2C+30350
"7500 Roswell Rd # 78, Atlanta, GA, 30350",2069626572,https://www.zillow.com/homedetails/2069626572_zpid/,zestimate_history,2026-04-12T16:13:47.988986+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=zestimate_history&byzpid=2069626572&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F2069626572_zpid%2F&byaddress=7500+Roswell+Rd+%23+78%2C+Atlanta%2C+GA%2C+30350
